id,title_en,description_en
11,Buyer beware: Solar power may be missing key ingredient,"MONTPELIER, Vt. (AP) — Want to cut reliance on your fossil-fuel-burning utility, but don't have space for solar panels? Easy, the sales pitch goes, buy a share in the new ""community solar array"" being built on the outskirts of town. But experts and regulators say there's a catch."
12,"Palomares, 50 years after the truth",The 856 official certificates signed by civil authorities and american military and spanish and delivered in 1966 to many other owners of land in Palomares. The most serious nuclear accident of the Cold War was resolved. Or at least that wanted to have us believe.
13,Oil warning after Paris climate deal,"The UK’s climate change envoy warned yesterday that the oil industry’s future looks more uncertain following the unprecedented deal in Paris last month, in which most of the world agreed to adopt plans to decarbonise their economies. Sir David King, the UK’s permanent representative on climate...."
14,„brauchen bridges in fortress europe’,"There are - for new year's day reception, the alliance 90/the greens in the Landkreis Verden on Friday into the old school house after Verden-Dauelsen invited. Friends had come from the heide circle and from red burg and representatives of several citizens' initiatives."
15,Siemens showcases solutions at Intersec,"SIEMENS is showcasing its full range of integrated building technology solutions for the protection of businesses, people, assets and facilities at the three-day Intersec 2016 that opened yesterday (Jan. 17) in Dubai. This year, Siemens is highlighting fire protection at Intersec, focusing on its...."
16,"Amid dark clouds over the tourism sector, Turkey needs to improve its image abroad in order to overcome difficulties it will face over the next two years, Turkish Hoteliers Federation head Osman Ayık tells the Hürriyet Daily News","TOURISM > 'Democratic values key' as dark clouds gather over Turkey's tourism. Barçın Yinanç – ANTALYA Amid dark clouds over the tourism sector, Turkey needs to improve its image abroad in order to overcome difficulties it will face over the next two years, Turkish Hoteliers Federation head Osman Ayık tells the Hürriyet Daily News."
17,Czechs Eye New Spec Ops Unit; Ukraine To Establish Training Center,WARSAW — Numerous Eastern European allies have intensified their efforts to develop special operations units following Russia’s military intervention in Ukraine and the role played by hybrid warfare in Moscow’s takeover of the Crimean peninsula. The region’s increasingly shared threat perception is....
18,Recovery of river basin Rocha moves slowly,". 17/01/2016 - 09:41:54 times. - the actions for the recovery or decontamination of the river Rocha move, but to “step slow”. In may 2012, then an environmental audit the river, the comptroller General of the state issued report established that 60 per cent of the...."
19,Refinaries should be revamped not sold- IPMAN tells FG,"President of the Independent Petroleum Marketers Association of Nigeria, IPMAN, Chinedu Okonkwo, has appealed to the President Muhammadu Buhari-led Federal Government to build more refineries instead of selling them. Speaking with the Punch, Okonkwo debunked reports that the association wanted the...."
20,Review: Lincoln Navigator,"Traditionally the preserve of American Football players and New Jersey 'business people,' the Lincoln Navigator was once a somewhat niche buy around its entry into the market in the late '90s. Now, with reports including those conducted by Global Industry Analysts suggesting that by 2020 SUVs will...."
21,"Sirius, the fox terrier which (almost) changed the history of Jonathan crown","15/11/2015 17:14 - ten years who have changed everything and prevented any change of Ugo Bardi lacks one month after COP - 21, in Paris, which should change everything –and probably will not change anything substantial. But the change is happening, although in ways that often surprising us and could not be pleased to see."
22,"News Flint gets water from volunteers on Sunday Flint gets water from volunteers on Sunday Latara Dugger, 23, left, and Courtney Edward, 22, both of Flint, MI, claps as Rev. Jesse Jackson, Activist, Founder and President of Rainbow PUSH Coalition talk during the Rally For Justice at the Heavenly Host Gospel Baptist Church on Sunday, Jan. 17, 2016 in Flint,... News 34 minutes ago Flint Water Crisis People of Flint speak: 'Nobody should ... be living like this' People of Flint speak: 'Nobody should ... be living like this' People in Flint are frustrated at the situation thrust upon and are worried, angry and sad about the water crisis. Flint Water Crisis 1 hour, 50 minutes ago Politics Rep. Kildee heads to Germany with Amir Hekmati's family Rep. Kildee heads to Germany with Amir Hekmati's family Rep.Dan Kildee has waged a very public and behind the scenes campaign to get Hekmati freed from Iranian prison Politics 2 hours, 40 minutes ago Michigan Freed from Iran, Flint's Amir Hekmati, others headed to Germany Freed from Iran, Flint's Amir Hekmati, others headed to Germany Reports said Sunday morning that Amir Hekmati, other prisoners released in swap, headed to Germany on Swiss aircraft. Michigan 8 hours, 55 minutes ago Michigan MDOT seeking ‘Road Watchers’ in western Michigan MDOT seeking ‘Road Watchers’ in western Michigan Michigan is seeking people to participate in periodic surveys measuring highway conditions during fromn 6 a.m. to 9 a.m. Michigan 9 hours, 16 minutes ago Sponsor Story John Hartig is reflecting a new Detroit John Hartig is reflecting a new Detroit The Detroit River International Wildlife Refuge manager works to return bald eagles, osprey and even beaver downtown. Sponsor Story 4 days, 8 hours ago Oakland Attorney seeks competency exam for self-confessed embezzler Attorney seeks competency exam for self-confessed embezzler The Clarkston Brandon Community Credit Union was taken over by the Michigan Department of Insurance and Financial Services. Oakland 9 hours, 39 minutes ago Michigan Man sentenced in home invasion of woman he once dated Man sentenced in home invasion of woman he once dated A Webberville man is heading to prison for breaking into the home of a woman he dated and was helping move. Michigan 9 hours, 52 minutes ago Michigan Jail ordered for man recording niece naked Jail ordered for man recording niece naked The 47-year-old Howell-area man blamed a “sex and porn” addiction for his placing a motion-sensor camera in his niece’s bathroom so he could record her naked. Michigan 10 hours, 14 minutes ago Detroit Detroit aims to cut unemployment Detroit aims to cut unemployment New study to help Duggan administration rework how job training is done in a high-poverty city Detroit 18 hours, 13 minutes ago Michigan Flint residents in crisis Flint residents in crisis Pamela Battle, 36, of Flint, is a single mother of seven holds her water bill that is just over a $1000.00 with overdue portions and recent charges. Michigan 18 hours, 14 minutes ago Politics Fix to election law bill introduced in Lansing Fix to election law bill introduced in Lansing The bill would allow local officials to talk about ballot issues, but not send out communication at taxpayer expense Politics 19 hours, 6 minutes ago Michigan Michael Moore, in Flint, says crisis 'not a mistake' Michael Moore, in Flint, says crisis 'not a mistake' Director and Flint native Michael Moore held a rally in the city on Saturday over the drinking water crisis Michigan 21 hours, 52 minutes ago Flint Water Crisis Michael Moore talks in Flint on the water crisis Michael Moore talks in Flint on the water crisis Flint native and director talked to a crowd of 150 about the ongoing Flint water crisis that is affecting thousands of people. Flint Water Crisis 22 hours, 4 minutes ago Nation Panda cub Bei Bei making debut at National Zoo Panda cub Bei Bei making debut at National Zoo The cub, who was born Aug. 22, is making his official debut today. Nation 22 hours, 11 minutes ago News Filmaker Michael Moore in Flint for a rally on water Filmaker Michael Moore in Flint for a rally on water Activist, documentarian and Flint native Michael Moore address a large crowd about the ongoing Flint water crisis in front of the City of Flint Municipal Center on Saturday, Jan. 16, 2016. News 23 hours, 38 minutes ago Flint Water Crisis Legionnaires' cases around Flint raised flags in 2014 Legionnaires' cases around Flint raised flags in 2014 Officials were concerned by uptick in cases but didn't link it to tainted water in Flint -- or alert public Flint Water Crisis 23 hours, 40 minutes ago News VW emissions scandal protesters pit-stop at auto show VW emissions scandal protesters pit-stop at auto show Colorado couple Marcus Moench and Elisabeth Caspari want a refund on their Volkswagen Jetta News 1 day ago Michigan President Obama declares emergency in Flint President Obama declares emergency in Flint Declaration opens door for federal financial aid in drinking water crisis Michigan 1 day, 1 hour ago Flint Water Crisis Cher donates bottled water to Flint Cher donates bottled water to Flint “This is a tragedy of staggering proportion and shocking that it’s happening in the middle of our country."" Flint Water Crisis 1 day, 1 hour ago World Burkina Faso hotel seizure ends; 4 jihadis, 28 others dead Burkina Faso hotel seizure ends; 4 jihadis, 28 others dead The Al-Qaida fighters who stormed a popular hangout came with a mission to kill as many people as possible. World 1 day, 1 hour ago Michigan Great Lakes Commission gets 497K for Muskegon Lake plan Great Lakes Commission gets 497K for Muskegon Lake plan The money will enable the commission to help restore fish passage and habitat in the lake. Michigan 1 day, 8 hours ago Michigan Man, 70, admits to amassing 650K child porn images Man, 70, admits to amassing 650K child porn images The man is already facing life in prison for raping an 8-year-old girl with Down syndrome. Michigan 1 day, 9 hours ago Detroit Belle Isle committee to discuss park updates Thursday Belle Isle committee to discuss park updates Thursday Law enforcement, infrastructure planning and general updates will be discussed at the Flynn Pavilion on the island. Detroit 1 day, 9 hours ago DETROIT AUTO SHOW 2016 Detroit Auto Show Charity Preview: Gallery 4 2016 Detroit Auto Show Charity Preview: Gallery 4 Jerald Davis of Sterling Heights and his wife Pamela Davis of Sterling Heights pose for a photo on a Mazda Prototype race car during the 2016 North American International Auto Show Charity Preview at Cobo Center on Friday, Jan. 15, 2016 in Detroit. DETROIT AUTO SHOW 1 day, 17 hours ago Michigan Michael Moore to hold Flint water press conference Michael Moore to hold Flint water press conference Film director and Flint native Michael Moore will hold a press conference Saturday in Flint. Michigan 1 day, 18 hours ago DETROIT AUTO SHOW 2016 Detroit Auto Show Charity Preview: Gallery 3 2016 Detroit Auto Show Charity Preview: Gallery 3 The 2016 North American International Auto Show Charity Preview at Cobo Center on Friday, Jan. 15, 2016 in Detroit. DETROIT AUTO SHOW 1 day, 18 hours ago","Flint gets water from volunteers on Sunday Latara Dugger, 23, left, and Courtney Edward, 22, both of Flint, MI, claps as Rev. Jesse Jackson, Activist, Founder and President of Rainbow PUSH Coalition talk during the Rally For Justice at the Heavenly Host Gospel Baptist Church on Sunday, Jan. 17, 2016 in Flint, MI."
23,http://on.freep.com/1P7U...,"It’s none of your business what Gov. Rick Snyder knew about the Flint water crisis, or when he knew it, as it might be reflected in his e-mails. Also none of your business: What he may have been saying to his staff in e-mails about the lead contamination in the city’s water, or what his staff may...."
24,Green energy funding faces conflicting global conditions: experts,"ABU DHABI, Jan. 17 (Xinhua) -- A two-day International Renewable Energy Agency (IRENA) summit started Saturday under the theme ""Mobilizing investment to accelerate energy agreement post the United Nations (UN) Climate Conference (COP21)"" Paris agreement."
25,http://on.freep.com/1J9R...,"It’s none of your business what Gov. Rick Snyder knew about the Flint water crisis, or when he knew it, as it might be reflected in his emails. Also none of your business: What he may have been saying to his staff in emails about the lead contamination in the city’s water, or what his staff may have...."
26,"&#39Renewable energy is limitless and will last forever,&#39 says Ban at global debate","'#39Renewable energy is limitless and will last forever,'#39 says Ban at global debate.

17 January 2016 #150 Everyone involved in energy—governments, the private sector, investors and financial institutions, cities, and people everywhere–#8211has understood that we can no longer burn our way to...."
27,Latest: Support leg gives way as rocket lands on ocean barge,"LOS ANGELES (AP) "" The latest on the launch of an ocean-monitoring satellite from California (all times local): 2:15 p.m. SpaceX says its Falcon 9 rocket toppled over upon landing on a floating ocean barge because one of its support legs didn't lock as planned."
28,Latest: Support leg gives way as rocket lands on ocean barge,"SpaceX says its Falcon 9 rocket toppled over upon landing on a floating ocean barge because one of its support legs didn't lock as planned This undated artist rendering provided by NASA shows the Jason-3 satellite. The latest in a series of U.S.-European satellites designed to detect ocean events like El Nino is scheduled for launch Sunday, Jan."
29,Landing played badly for the of SpaceX rocket,"The successful launch has meant to put the satellite Jason 3 in orbit, but the first étage the fusée cannot be reused. Spacex to reuse the first étage its rockets to reduce its launch costs. Mixed success for Falcon 9."
30,Renault. Representatives before the technical commission on Monday,"And several foreign brands, according to the first results of an independent technical commission set up by the government after the scandal Volkswagen for verifying that manufacturers have not equipped their vehicles of software to distort the measures of pollution."
31,Sarri not firm! Blue marlin suffered to work for…,"08/12/2015 16:27 Scopri suffered the sconto today, which gives ottom Lillapois on many brands of person with specialist treatment: the Paris L' oréal, Listerine, Maybelline, Omia - Felce d’azur, etc. The beating of advent calendar supérieurs Lillapois “loaded against “the yuletide. The photos for clicks collegarti with page of the initiative."
32,Sustainable Commitments of the British University in Dubai,"Sunday, January 17, 2016. Dubai, UAE. 'Sustainability' is the capacity to endure. The development of this capacity connects together issues of ecology, economics, politics and culture and is enabled by legal frameworks, policies on urban planning, construction and transport, and the choices we each make about our lifestyles and consumption."
33,Commentary: Partnership good for education,"Although the challenges vary from one sector to the other, they all point to the dangers of the quality of education being offered. Indeed there are two segments offering education in the country - the private and public sectors, all of which are expected to offer quality education and not just churn out graduates who are half-baked."
34,Bakri Chairs Meeting for Formulating Plan for Providing Drinking Water,"Khartoum, Jan. 17 (SUNA) - The First Vice - President Lt. Gen. Bakri Hassan Salih, chaired Sunday at the Republican Palace a meeting for formulating a plan to provide drinking water in Sudan until the year 2020. Lt. Gen. Salih has directed the Walis (governors) to participate in the meeting and...."
35,Immunitites contamination of Titicaca in congress of the republic,"The commission of the andean peoples, amazon, Afroperuanos, environment and ecology of the congress of the republic, held its fifth session décentralisée in the region Puno, which dealt with the environmental problems of the lake Titicaca and its tributaries. The meeting was addressed by the congressman Leyla...."
36,SpaceX fails to stick ocean landing after satellite launch,"The SpaceX Falcon 9 rocket is seen after launch from Space Launch Complex 4 East at Vandenberg Air Force Base in California with the Jason-3 spacecraft onboard, January 17, 2016. SpaceX's Falcon 9 rocket broke apart Sunday as it tried to land on a floating platform in the Pacific, marking the fourth...."
37,President says AIIB door open to new members,"BEIJING, Jan. 17 (Xinhua) -- The AIIB's door has been opened and the door will stay open, said Jin Liqun, president of the Asian Infrastructure Investment Bank (AIIB), at a press conference on Sunday. Jin made the remarks in response to a question about whether the AIIB's door is open to Japan and the United States."
38,Pollution: representatives of Renault before the technical commission Monday,"Representatives of encountered problems even independent technical implementation by the government after the scandal Volkswagen, and which has record of exceedances of thresholds of pollution in the french manufacturer, has indicated the group Sunday."
39,UAE grants Dh168m in loans for renewable projects abroad,"UAE grants. Antigua and Barbuda: A 4 megawatt wind and solar project will receive US $15 million to provide energy to desalinate water and increase climate resilience. The project will cut CO2 production by 8,275 tonnes per year. Burkina Faso: A 3.6 megawatt solar PV mini-grid project will receive...."
40,Topping off tank can lead to costly repair,Q: My wife called my attention to a squib on Page 66 of the January issue of Good Housekeeping that says one should not pump more gasoline after the first automatic shut-off because that action may damage the emissions system. I am asking about this because I apparently did just that two months ago.
41,"Tim Peake takes selfie of ""exhilarating"" space walk","said he will never forget his ""exhilarating"" first walk in space as he posted a selfie of his historic feat. The Chichester-born astronaut tweeted for the first time since he became the first Briton to complete an Extra-Vehicular Activity (EVA) or spacewalk."
42,Space: satellite franco-américain Jason 3 in orbit,"Spacex has successfully launched Sunday satellite franco-américain Jason 3 for measuring the elevation of the oceans, key to better understand climate change, but failed to ask smoothly on the first floor of the javelin Falcon 9 on a barge at sea."
43,Support leg breaks as SpaceX rocket lands on ocean barge (Update),"This undated artist rendering provided by NASA shows the Jason-3 satellite. The latest in a series of U.S.-European satellites designed to detect ocean events like El Nino is scheduled for launch Sunday, Jan. 17, from California. If successful, the Jason 3 satellite will continue more than two decades of sea level measurements."
44,Dubai students pledge to protect nature,"Whom do we need to protect this earth from? That was the million dollar question posed before an audience of over 250 students, teacher, and parents at the Beyond COP21 Symposium. Asha Alexander, principal of The Kindergarten Starters (KGS), Dubai, who looked for an answer from the audience said: ""We need to protect the earth from ourselves."
45,Space: satellite franco-américain Jason 3 in orbit,"Spacex has successfully launched Sunday satellite franco-américain Jason 3 for measuring the elevation of the oceans, key to better understand climate change, but failed to ask smoothly on the first floor of the javelin Falcon 9 on a barge at sea."
46,Space: satellite franco-américain Jason 3 in orbit,"Spacex has successfully launched Sunday satellite franco-américain Jason 3 for measuring the elevation of the oceans, key to better understand climate change, but failed to ask smoothly on the first floor of the javelin Falcon 9 on a barge at sea."
47,Ahmed Shaaban,"RAK Police blocked the traffic signal at Al Rams area after it stopped working.

Opening of Shaikh Rashid bin Saqr Al Qasimi intersection will boost traffic capacity and flow.

The families, hailing from different nationalities, denied the landlord's ""baseless"" claims, and urged the civic body to take immediate action."
48,Lead affects my peru and window,"Camilla is 9 years, but it seems less age. The fact that every day, when studying, come or plays, feels carraspera and headache to the already accustomed. His mother, Pola mirror, suspicion that the lead already joined their fragile body. In the recent created district chalaco my peru, where...."
49,Wattrelos: a new company waste recycling and metals in all kinds,"They are situated close to another undertaking of collection of metals but this is not done exprès, explains Quentin Morgan. It is the director general of a new born in the industrial zone of the Martinoire, the company modern recycling. “Initially, we wanted the CRT in Lesquin, or when the area Roubaix-Tourcoing."
50,Humanity creates its own age,"If within millions of years there is a civilisation to explore the geological past the earth, found evidence that humanity was here. Include rock strata with traces of compacted concrete, aluminium, plastics, soot and radioactive traces that counted the history of a profound change in the earth's surface."
51,"SpaceX launches ocean-monitoring satellite, but drone ship landing attempt fails again","LOMPOC, the United States, Jan. 17 (Xinhua) -- U.S. private spacecraft company SpaceX launched on Sunday morning the Jason-3 ocean-measuring satellite, but failed in its attempt to land the spent first stage of its Falcon 9 rocket on a ship in the Ocean. ""First stage on target at droneship but looks like hard landing; broke landing leg."
52,State of Emergency Declared Over Man-Made Water Disaster in Michigan City,"has declared a state of emergency in response to the water crisis in Flint, Mich., where thousands of residents have been exposed to toxic amounts of lead. The president’s action on Saturday authorizes the Federal Emergency Management Agency to “coordinate all disaster relief efforts which have the...."
53,Massachusetts fishermen fear new rules smothering industry 01.17.16 | 3:52 PM,"GLOUCESTER, Mass. (AP) Gerry O’Neill looks at the water world spinning around him, a world of regulation and re-regulation and over-regulation in other words, the modern world of commercial fishing and thinks that he’s seen this movie before. Two days removed from the public comment hearing at the...."
54,The Latest: US-European ocean-monitoring satellite in orbit,"An ocean-monitoring satellite that launched from the California coast has separated from its SpaceX rocket and been sent toward orbit This undated artist rendering provided by NASA shows the Jason-3 satellite. The latest in a series of U.S.-European satellites designed to detect ocean events like El Nino is scheduled for launch Sunday, Jan."
55,Radioactive contamination of Palomares turns 50,"On 17 January 1966 two american stealth aircraft operations of recharging of fuel in full flight and accidentally collided and, as a result, four thermonuclear bombs of the us armed forces fell in the south of spain, in Palomares (spain)."
56,"$46 Million in Loans Announced for Four Renewable Energy Projects in Africa, Caribbean","BusinessPulse helps business owners increase their revenue and reduce their costs by offering support at each stage of their business. Providing transparent information and practical advice on how to grow their business and take it to the next level. Visit the site:

Projects selected by IRENA/ ADFD...."
57,"Government puts Lagos hospital under surveillance, suspends its activities","The Lagos State Government, LASG, says it has placed Ahmmadiyyah Hospital, Ojokoro, in Lagos where the patient with the first Lassa fever virus case was first admitted. under surveillance. In a statement released by Dr Jide Idris, the Lagos State commissioner for Health on Saturday, the 15...."
58,"Oakland Attorney seeks competency exam for self-confessed embezzler Attorney seeks competency exam for self-confessed embezzler The Clarkston Brandon Community Credit Union was taken over by the Michigan Department of Insurance and Financial Services. Oakland 2 minutes ago Michigan Man sentenced in home invasion of woman he once dated Man sentenced in home invasion of woman he once dated A Webberville man is heading to prison for breaking into the home of a woman he dated and was helping move. Michigan 15 minutes ago Michigan Jail ordered for man recording niece naked Jail ordered for man recording niece naked The 47-year-old Howell-area man blamed a “sex and porn” addiction for his placing a motion-sensor camera in his niece’s bathroom so he could record her naked. Michigan 37 minutes ago Flint Water Crisis Flint water crisis: Residents fear impact, plan to move Flint water crisis: Residents fear impact, plan to move People in Flint are frustrated at the situation thrust upon and are worried, angry and sad about the water crisis. Flint Water Crisis 8 hours, 35 minutes ago Michigan Flint residents in crisis Flint residents in crisis Pamela Battle, 36, of Flint, is a single mother of seven holds her water bill that is just over a $1000.00 with overdue portions and recent charges. Michigan 8 hours, 37 minutes ago Sponsor Story John Hartig is reflecting a new Detroit John Hartig is reflecting a new Detroit The Detroit River International Wildlife Refuge manager works to return bald eagles, osprey and even beaver downtown. Sponsor Story 3 days, 22 hours ago Politics Fix to election law bill introduced in Lansing Fix to election law bill introduced in Lansing The bill would allow local officials to talk about ballot issues, but not send out communication at taxpayer expense Politics 9 hours, 29 minutes ago Michigan Michael Moore, in Flint, says crisis 'not a mistake' Michael Moore, in Flint, says crisis 'not a mistake' Director and Flint native Michael Moore held a rally in the city on Saturday over the drinking water crisis Michigan 12 hours, 14 minutes ago Flint Water Crisis Michael Moore talks in Flint on the water crisis Michael Moore talks in Flint on the water crisis Flint native and director talked to a crowd of 150 about the ongoing Flint water crisis that is affecting thousands of people. Flint Water Crisis 12 hours, 26 minutes ago Nation Panda cub Bei Bei making debut at National Zoo Panda cub Bei Bei making debut at National Zoo The cub, who was born Aug. 22, is making his official debut today. Nation 12 hours, 34 minutes ago Michigan Iran frees former Marine Amir Hekmati of Flint, 3 more Iran frees former Marine Amir Hekmati of Flint, 3 more Reports on Saturday said four of Americans, including Hekmati, were being released as part of a prisoner swap. Michigan 13 hours, 59 minutes ago News Filmaker Michael Moore in Flint for a rally on water Filmaker Michael Moore in Flint for a rally on water Activist, documentarian and Flint native Michael Moore address a large crowd about the ongoing Flint water crisis in front of the City of Flint Municipal Center on Saturday, Jan. 16, 2016. News 14 hours, 1 minute ago Flint Water Crisis Legionnaires' cases around Flint raised flags in 2014 Legionnaires' cases around Flint raised flags in 2014 Officials were concerned by uptick in cases but didn't link it to tainted water in Flint -- or alert public Flint Water Crisis 14 hours, 2 minutes ago News VW emissions scandal protesters pit-stop at auto show VW emissions scandal protesters pit-stop at auto show Colorado couple Marcus Moench and Elisabeth Caspari want a refund on their Volkswagen Jetta News 15 hours, 4 minutes ago Michigan President Obama declares emergency in Flint President Obama declares emergency in Flint Declaration opens door for federal financial aid in drinking water crisis Michigan 15 hours, 44 minutes ago Flint Water Crisis Cher donates bottled water to Flint Cher donates bottled water to Flint “This is a tragedy of staggering proportion and shocking that it’s happening in the middle of our country."" Flint Water Crisis 16 hours, 2 minutes ago World Burkina Faso hotel seizure ends; 4 jihadis, 28 others dead Burkina Faso hotel seizure ends; 4 jihadis, 28 others dead The Al-Qaida fighters who stormed a popular hangout came with a mission to kill as many people as possible. World 16 hours, 12 minutes ago Michigan Great Lakes Commission gets 497K for Muskegon Lake plan Great Lakes Commission gets 497K for Muskegon Lake plan The money will enable the commission to help restore fish passage and habitat in the lake. Michigan 22 hours, 55 minutes ago Michigan Man, 70, admits to amassing 650K child porn images Man, 70, admits to amassing 650K child porn images The man is already facing life in prison for raping an 8-year-old girl with Down syndrome. Michigan 23 hours, 43 minutes ago Detroit Belle Isle committee to discuss park updates Thursday Belle Isle committee to discuss park updates Thursday Law enforcement, infrastructure planning and general updates will be discussed at the Flynn Pavilion on the island. Detroit 23 hours, 45 minutes ago DETROIT AUTO SHOW 2016 Detroit Auto Show Charity Preview: Gallery 4 2016 Detroit Auto Show Charity Preview: Gallery 4 Jerald Davis of Sterling Heights and his wife Pamela Davis of Sterling Heights pose for a photo on a Mazda Prototype race car during the 2016 North American International Auto Show Charity Preview at Cobo Center on Friday, Jan. 15, 2016 in Detroit. DETROIT AUTO SHOW 1 day, 7 hours ago Michigan Michael Moore to hold Flint water press conference Michael Moore to hold Flint water press conference Film director and Flint native Michael Moore will hold a press conference Saturday in Flint. Michigan 1 day, 9 hours ago DETROIT AUTO SHOW 2016 Detroit Auto Show Charity Preview: Gallery 3 2016 Detroit Auto Show Charity Preview: Gallery 3 The 2016 North American International Auto Show Charity Preview at Cobo Center on Friday, Jan. 15, 2016 in Detroit. DETROIT AUTO SHOW 1 day, 9 hours ago Detroit DDOT to add 24-hour bus service on key routes DDOT to add 24-hour bus service on key routes Director Dan Dirks says ""service changes come directly from our customers and employees."" Detroit 1 day, 10 hours ago DETROIT AUTO SHOW 2016 Detroit Auto Show Charity Preview: Gallery 2 2016 Detroit Auto Show Charity Preview: Gallery 2 Melissa Glasson (left) of Royal Oak and Eileen Clein with her husband, Hugh, of Rochester Hills laugh together during the 2016 North American International Auto Show's Charity Preview on Friday, Jan. 15, 2016 at Cobo Center in Detroit. DETROIT AUTO SHOW 1 day, 10 hours ago Wayne 100 protest at Fairlane over shooting by Dearborn cop 100 protest at Fairlane over shooting by Dearborn cop The African-American group New Era Detroit demonstrated Friday night over the police officer-involved shooting of Kevin Matthews. Wayne 1 day, 11 hours ago Michigan Three ordered to trial in Battle Creek murder case Three ordered to trial in Battle Creek murder case It started at a baby shower and ended with a man lying dead in the street. Michigan 1 day, 12 hours ago","An attorney says he will seek a competency exam for his client, a Tyrone Township resident and former Oakland County credit union leader whom officers say confessed to embezzling $20 million during a 12-year period. Meanwhile, the Clarkston Brandon Community Credit Union was taken over by the...."
59,Experts and researchers meet on the 50th anniversary of the Palomares nuclear accident,"Programme concluded this weekend on the occasion of the fiftieth anniversary. Almeria. - in the meetings held this Saturday 16 January 2016, on the occasion of the 50th anniversary of the accident at Palomares, environmentalists in action has brought together experts from various fields that researchers have discussed...."
60,Politics › Campaign begins for Ginowan election; U.S. base relocation key issue,"NAHA. Official campaigning started Sunday for a mayoral election in Ginowan, Okinawa Prefecture, in what is widely seen as a battle between Tokyo and Okinawa over the contentious relocation of a key U.S. military base within the island prefecture. Mayor Atsushi Sakima, who is seeking a second...."
61,The critical agrar report 2016,"18.01.2016 the critical agricultural report 2016 agricultural alliance is critical agricultural report 2016 on the international green week before and opposes a growth country economy without added value. On the launch of the international green week in Berlin, the agricultural alliance the critical agricultural report 2016."
62,Green week 2016: how we feed the cities?/summary Global Forum for Food and Agriculture (photo),"Berlin (ots) - in 2050, according to the forecasts of the united nations, three quarters of the world's population and thus seven billion people live in towns and cities. The reliable supply of these people with sufficient, healthy food is a particular challenge."
